| Map (#) | Expand | WIN% | W | L | ATK  1st | DEF  1st | ATK  RWin% | RW | RL | DEF  RWin% | RW | RL | Agent Compositions |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bind (26) |  | 50% | 13 | 13 | 11 | 15 | 55% | 150 | 121 | 48% | 134 | 143 | (1)  (1)  (1)  (16)  (1)  (2)  (1)  (2)  (1) |
|  | | [2025/8/23  NRG  13/7  def  10/2  atk  3/5    Upper Semifinals  Playoffs](/530907/nrg-vs-g2-esports-vct-2025-americas-stage-2-ubsf/?map=3) | | | | | | | | | | |  |
|  | | [2025/2/27  Team Vitality  15/13  def  5/7  atk  7/5  OT  3/1  Upper Semifinals  Playoffs](/449009/team-vitality-vs-g2-esports-champions-tour-2025-masters-bangkok-ubsf/?map=1) | | | | | | | | | | |  |
|  | | [2025/2/22  EDward Gaming  8/13  atk  4/8  def  4/5    Round 2 (1-0)  Swiss Stage](/449001/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-r2-1-0/?map=2) | | | | | | | | | | |  |
|  | | [2024/11/22  FNATIC  13/2  def  10/2  atk  3/0    Round 3  Main Event](/424022/fnatic-vs-g2-esports-red-bull-home-ground-5-r3/?map=2) | | | | | | | | | | |  |
|  | | [2024/11/22  T1  11/13  def  7/5  atk  4/8    Round 2  Main Event](/423973/g2-esports-vs-t1-red-bull-home-ground-5-r2/?map=1) | | | | | | | | | | |  |
|  | | [2024/8/16  FNATIC  11/13  def  4/8  atk  7/5    Lower Round 1  Playoffs](/378832/g2-esports-vs-fnatic-valorant-champions-2024-lr1/?map=2) | | | | | | | | | | |  |
|  | | [2024/8/07  EDward Gaming  13/11  atk  9/3  def  4/8    Winner's (D)  Group Stage](/378675/edward-gaming-vs-g2-esports-valorant-champions-2024-winners-d/?map=3) | | | | | | | | | | |  |
|  | | [2024/7/22  LEVIATÁN  13/9  atk  4/8  def  9/1    Grand Final  Playoffs](/371271/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-2-gf/?map=3) | | | | | | | | | | |  |
|  | | [2024/7/20  LEVIATÁN  13/6  atk  8/4  def  5/2    Upper Final  Playoffs](/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/15  Sentinels  13/6  def  6/6  atk  7/0    Week 4  Regular Season](/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4/?map=1) | | | | | | | | | | |  |
|  | | [2024/7/02  NRG  13/8  atk  9/3  def  4/5    Week 2  Regular Season](/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2/?map=2) | | | | | | | | | | |  |
|  | | [2024/6/08  Team Heretics  2/13  def  2/10  atk  0/3    Lower Final  Playoffs](/348475/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-lf/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/31  Paper Rex  13/5  atk  10/2  def  3/3    Upper Quarterfinals  Playoffs](/348463/paper-rex-vs-g2-esports-champions-tour-2024-masters-shanghai-ubqf/?map=3) | | | | | | | | | | |  |
