| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| [CHAROD  YFP.X](/player/5166/charod) | (+2) | 207 | 1.41 | 306.7 | 1.52 | 79% | 183.1 | 1.07 | 0.20 | 0.19 | 0.10 | 39% | 15% | 4/27 | [30](/523250/wadadaa-vs-yfp-x-game-changers-2025-north-america-stage-2-r2-1-0) | 221 | 145 | 41 | 40 | 20 |
| [Raven  MAK](/player/38728/raven) |  | 207 | 1.34 | 239.1 | 1.44 | 73% | 146.0 | 0.90 | 0.26 | 0.08 | 0.10 | 35% | 24% | 8/33 | [28](/522594/teevee-vs-mak-n-cheese-game-changers-2025-north-america-stage-2-r1) | 186 | 129 | 53 | 17 | 20 |
| [Ayumiii  HYPA](/player/8175/ayumiii) | (+2) | 217 | 1.33 | 283.8 | 1.47 | 76% | 176.6 | 1.01 | 0.22 | 0.24 | 0.12 | 25% | 17% | 4/23 | [26](/490749/team-falcons-vega-vs-hypa-hypa-esports-game-changers-2025-southeast-asia-split-2-ubsf) | 219 | 149 | 47 | 51 | 25 |
| [ZuoKew  XOXO](/player/40547/zuokew) |  | 283 | 1.30 | 290.3 | 1.31 | 73% | 186.1 | 1.00 | 0.19 | 0.21 | 0.12 | 34% | 26% | 6/23 | [31](/510716/team-nkt-vs-xoxo-01-valorant-thailand-series-preseason-ubf) | 282 | 216 | 55 | 59 | 34 |
| [Jelly  TLV](/player/21435/jelly) | (+1) | 236 | 1.30 | 285.2 | 1.48 | 73% | 176.8 | 1.01 | 0.19 | 0.25 | 0.14 | 28% | 27% | 4/15 | [35](/514826/team-liquid-brazil-vs-mibr-gc-game-changers-2025-brazil-stage-2-gf) | 239 | 162 | 44 | 60 | 33 |
| [tok1o  UW.GC](/player/35660/tok1o) | (+1) | 211 | 1.29 | 287.1 | 1.32 | 76% | 184.8 | 1.00 | 0.19 | 0.16 | 0.14 | 28% | 18% | 2/11 | [27](/504894/zen-esports-gc-vs-university-war-gc-game-changers-2025-latam-south-stage-2-lbf) | 210 | 159 | 41 | 34 | 29 |
| [Kajuks  CG](/player/15064/kajuks) | (+1) | 223 | 1.29 | 270.0 | 1.39 | 74% | 172.9 | 0.97 | 0.16 | 0.26 | 0.13 | 31% | 19% | 5/26 | [30](/511315/team-liquid-academy-vs-full-box-200-challengers-2025-north-east-samsung-odyssey-split-3-r1) | 216 | 155 | 35 | 58 | 30 |
| [Jade](/player/41207/jade) | (+2) | 768 | 1.29 | 288.7 | 1.37 | 74% | 170.0 | 1.02 | 0.21 | 0.26 | 0.17 | 26% | 22% | 15/67 | [35](/527233/alternate-attax-ruby-vs-todobew-gc-game-changers-2025-emea-contenders-series-2-playoffs-uro16) | 780 | 568 | 158 | 199 | 129 |
| [terror  HAKI](/player/45801/terror) | (+1) | 282 | 1.29 | 268.7 | 1.31 | 78% | 179.6 | 0.98 | 0.29 | 0.07 | 0.07 | 35% | 20% | 8/40 | [29](/531575/ydz-black-vs-hakikimori-gc-game-changers-2025-north-america-stage-2-r4-1-2) | 276 | 210 | 82 | 21 | 19 |
| [exa  T1A](/player/30556/exa) | (+1) | 291 | 1.28 | 246.1 | 1.40 | 74% | 159.9 | 0.88 | 0.37 | 0.09 | 0.10 | 25% | 12% | 2/17 | [27](/528179/t1-academy-vs-slt-seongnam-challengers-2025-korea-wdg-stage-3-gf) | 256 | 183 | 109 | 26 | 28 |
| [cuteasa  YDZ.GC](/player/47189/cuteasa) | (+1) | 335 | 1.26 | 251.1 | 1.31 | 77% | 155.9 | 0.91 | 0.22 | 0.10 | 0.03 | 25% | 15% | 8/53 | [27](/511017/hakikimori-gc-vs-ydz-black-game-changers-2025-north-america-stage-2-ubsf) | 305 | 232 | 74 | 32 | 11 |
| [Mary  FLCV](/player/17333/mary) |  | 253 | 1.26 | 216.3 | 1.49 | 79% | 147.5 | 0.81 | 0.22 | 0.11 | 0.06 | 34% | 25% | 9/36 | [28](/490752/team-falcons-vega-vs-xipto-esports-gc-game-changers-2025-southeast-asia-split-2-gf) | 204 | 137 | 55 | 29 | 15 |
| [dgzin  DIRE](/player/8873/dgzin) |  | 369 | 1.25 | 282.9 | 1.37 | 69% | 175.5 | 0.98 | 0.15 | 0.22 | 0.15 | 26% | 26% | 7/27 | [33](/518745/team-solid-vs-los-grandes-challengers-2025-brazil-gamers-club-split-2-ur1) | 360 | 263 | 56 | 81 | 55 |
| [guuih  STE](/player/6202/guuih) |  | 263 | 1.25 | 212.4 | 1.36 | 77% | 137.8 | 0.77 | 0.28 | 0.05 | 0.05 | 32% | 17% | 4/23 | [23](/518750/stellae-gaming-vs-team-solid-challengers-2025-brazil-gamers-club-split-2-gf) | 202 | 148 | 74 | 14 | 13 |
| [ferret  RIE](/player/36897/ferret) | (+1) | 256 | 1.25 | 244.0 | 1.34 | 76% | 163.1 | 0.87 | 0.30 | 0.14 | 0.10 | 39% | 24% | 7/29 | [34](/504687/kiss-vs-true-synergy-gaming-gc-game-changers-2025-oceania-split-2-gf) | 223 | 167 | 78 | 36 | 25 |
| [Meiy  DFM](/player/6672/meiy) | (+1) | 274 | 1.25 | 266.2 | 1.35 | 74% | 167.2 | 0.96 | 0.19 | 0.17 | 0.10 | 29% | 17% | 5/29 | [39](/508820/zeta-division-vs-detonation-focusme-vct-2025-pacific-stage-2-w1) | 264 | 195 | 53 | 46 | 27 |
